variable_name,desc,type,range_values
Subject Code,,string,
Subject Age Years,,numerical,
Subject Age Months,,numerical,
Gender,,nominal,
Handedness,,nominal,
CityOfResidence,,string,
Diagnosis Categories,,nominal,
3rd Ventricle Volume(cm3),,numerical,
4th Ventricle Volume(cm3),,numerical,
Right Accumbens Area Volume(cm3),,numerical,
Left Accumbens Area Volume(cm3),,numerical,
Right Amygdala Volume(cm3),,numerical,
Left Amygdala Volume(cm3),,numerical,
Brain Stem Volume(cm3),,numerical,
Right Caudate Volume(cm3),,numerical,
Left Caudate Volume(cm3),,numerical,
Right Cerebellum Exterior Volume(cm3),,numerical,
Left Cerebellum Exterior Volume(cm3),,numerical,
Right Cerebellum White Matter Volume(cm3),,numerical,
Left Cerebellum White Matter Volume(cm3),,numerical,
Right Cerebral White Matter Volume(cm3),,numerical,
Left Cerebral White Matter Volume(cm3),,numerical,
CSF Volume(cm3),,numerical,
Right Hippocampus Volume(cm3),,numerical,
Left Hippocampus Volume(cm3),,numerical,
Right Inf Lat Vent Volume(cm3),,numerical,
Left Inf Lat Vent Volume(cm3),,numerical,
Right Lateral Ventricle Volume(cm3),,numerical,
Left Lateral Ventricle Volume(cm3),,numerical,
Right Pallidum Volume(cm3),,numerical,
Left Pallidum Volume(cm3),,numerical,
Right Putamen Volume(cm3),,numerical,
Left Putamen Volume(cm3),,numerical,
Right Thalamus Proper Volume(cm3),,numerical,
Left Thalamus Proper Volume(cm3),,numerical,
Right Ventral DC Volume(cm3),,numerical,
Left Ventral DC Volume(cm3),,numerical,
Right vessel Volume(cm3),,numerical,
Left vessel Volume(cm3),,numerical,
Optic Chiasm Volume(cm3),,numerical,
Cerebellar Vermal Lobules I-V Volume(cm3),,numerical,
Cerebellar Vermal Lobules VI-VII Volume(cm3),,numerical,
Cerebellar Vermal Lobules VIII-X Volume(cm3),,numerical,
Left Basal Forebrain Volume(cm3),,numerical,
Right Basal Forebrain Volume(cm3),,numerical,
Right ACgG anterior cingulate gyrus Volume(cm3),,numerical,
Left ACgG anterior cingulate gyrus Volume(cm3),,numerical,
Right AIns anterior insula Volume(cm3),,numerical,
Left AIns anterior insula Volume(cm3),,numerical,
Right AOrG anterior orbital gyrus Volume(cm3),,numerical,
Left AOrG anterior orbital gyrus Volume(cm3),,numerical,
Right AnG angular gyrus Volume(cm3),,numerical,
Left AnG angular gyrus Volume(cm3),,numerical,
Right Calc calcarine cortex Volume(cm3),,numerical,
Left Calc calcarine cortex Volume(cm3),,numerical,
Right CO central operculum Volume(cm3),,numerical,
Left CO central operculum Volume(cm3),,numerical,
Right Cun cuneus Volume(cm3),,numerical,
Left Cun cuneus Volume(cm3),,numerical,
Right Ent entorhinal area Volume(cm3),,numerical,
Left Ent entorhinal area Volume(cm3),,numerical,
Right FO frontal operculum Volume(cm3),,numerical,
Left FO frontal operculum Volume(cm3),,numerical,
Right FRP frontal pole Volume(cm3),,numerical,
Left FRP frontal pole Volume(cm3),,numerical,
Right FuG fusiform gyrus Volume(cm3),,numerical,
Left FuG fusiform gyrus Volume(cm3),,numerical,
Right GRe gyrus rectus Volume(cm3),,numerical,
Left GRe gyrus rectus Volume(cm3),,numerical,
Right IOG inferior occipital gyrus Volume(cm3),,numerical,
Left IOG inferior occipital gyrus Volume(cm3),,numerical,
Right ITG inferior temporal gyrus Volume(cm3),,numerical,
Left ITG inferior temporal gyrus Volume(cm3),,numerical,
Right LiG lingual gyrus Volume(cm3),,numerical,
Left LiG lingual gyrus Volume(cm3),,numerical,
Right LOrG lateral orbital gyrus Volume(cm3),,numerical,
Left LOrG lateral orbital gyrus Volume(cm3),,numerical,
Right MCgG middle cingulate gyrus Volume(cm3),,numerical,
Left MCgG middle cingulate gyrus Volume(cm3),,numerical,
Right MFC medial frontal cortex Volume(cm3),,numerical,
Left MFC medial frontal cortex Volume(cm3),,numerical,
Right MFG middle frontal gyrus Volume(cm3),,numerical,
Left MFG middle frontal gyrus Volume(cm3),,numerical,
Right MOG middle occipital gyrus Volume(cm3),,numerical,
Left MOG middle occipital gyrus Volume(cm3),,numerical,
Right MOrG medial orbital gyrus Volume(cm3),,numerical,
Left MOrG medial orbital gyrus Volume(cm3),,numerical,
Right MPoG postcentral gyrus medial segment Volume(cm3),,numerical,
Left MPoG postcentral gyrus medial segment Volume(cm3),,numerical,
Right MPrG precentral gyrus medial segment Volume(cm3),,numerical,
Left MPrG precentral gyrus medial segment Volume(cm3),,numerical,
Right MSFG superior frontal gyrus medial segment Volume(cm3),,numerical,
Left MSFG superior frontal gyrus medial segment Volume(cm3),,numerical,
Right MTG middle temporal gyrus Volume(cm3),,numerical,
Left MTG middle temporal gyrus Volume(cm3),,numerical,
Right OCP occipital pole Volume(cm3),,numerical,
Left OCP occipital pole Volume(cm3),,numerical,
